33 - 64 : Pierre
64 - 76 : Lin
76 - 88 : Anaclet, aussi appelé Clet
88 - 97 : Clément Ier
97 - 105 : Evariste
105 - 115 : Alexandre Ier
115 - 125 : Sixte Ier
125 - 136 : Télesphore
136 - 140 : Hygin
140 - 155 : Pie Ier
155 - 166 : Anicet
166 - 175 : Soter
175 - 189 : Eleuthère
189 - 199 : Victor Ier
199 - 217 : Zéphyrin
217 - 222 : Calixte Ier
222 - 230 : Urbain Ier
230 - 235 : Pontien
235 - 236 : Antère
236 - 250 : Fabien
251 - 253 : Cornelius
253 - 254 : Lucius Ier
254 - 257 : Etienne Ier
257 - 258 : Sixte II
259 - 268 : Denys
269 - 274 : Félix Ier
275 - 283 : Eutychien
283 - 296 : Caius
296 - 304 : Marcellin
308 - 309 : Marcel Ier
309 - 309 : Eusèbe
311 - 314 : Miltiade
314 - 335 : Sylvestre Ier
336 - 336 : Marc
337 - 352 : Jules Ier
352 - 366 : Libère
366 - 384 : Damase Ier
384 - 399 : Sirice
399 - 401 : Anastase Ier
401 - 417 : Innocent Ier
417 - 418 : Zozime
418 - 422 : Boniface Ier
422 - 432 : Célestin Ier
432 - 440 : Sixte III
440 - 461 : Léon Ier
461 - 468 : Hilaire
468 - 483 : Simplice
483 - 492 : Félix III
492 - 496 : Gélase Ier
496 - 498 : Anastase II
498 - 514 : Symmaque
514 - 523 : Hormisdas
523 - 526 : Jean Ier
526 - 530 : Félix IV
530 - 532 : Boniface II
533 - 535 : Jean II
535 - 536 : Agapit Ier
536 - 537 : Silvère
537 - 555 : Vigile
556 - 561 : Pélage Ier
561 - 574 : Jean III
575 - 579 : Benoît Ier
579 - 590 : Pélage II
590 - 604 : Grégoire Ier
604 - 606 : Sabinien
607 - 607 : Boniface III
608 - 615 : Boniface IV
615 - 618 : Adeodat Ier
619 - 625 : Boniface V
625 - 638 : Honorius Ier
640 - 640 : Séverin
640 - 642 : Jean IV
642 - 649 : Théodore Ier
649 - 654 : Martin Ier. Ce pape a renoncé à sa charge en 654 et est mort un an après.
654 - 657 : Eugène Ier
657 - 672 : Vitalien
672 - 676 : Adeodat II
676 - 678 : Donus
678 - 681 : Agathon
682 - 683 : Léon II
684 - 685 : Benoît II
685 - 686 : Jean V
686 - 687 : Conon
687 - 701 : Serge Ier
701 - 705 : Jean VI
705 - 707 : Jean VII
708 - 708 : Sisinnius
708 - 715 : Constantin
715 - 731 : Grégoire II
731 - 741 : Grégoire III
741 - 752 : Zacharie
752 - 757 : Etienne II
757 - 767 : Paul Ier
768 - 772 : Etienne III
772 - 795 : Adrien Ier
795 - 816 : Léon III
816 - 817 : Etienne IV
817 - 824 : Pascal Ier
824 - 827 : Eugène II
827 - 827 : Valentin
827 - 844 : Grégoire IV
844 - 847 : Serge II
847 - 855 : Léon IV
855 - 858 : Benoît III
858 - 867 : Nicolas Ier
867 - 872 : Adrien II
872 - 882 : Jean VIII
882 - 884 : Marin Ier
884 - 885 : Adrien III
885 - 891 : Etienne V
891 - 896 : Formose
896 - 896 : Boniface VI
896 - 897 : Etienne VI
897 - 897 : Romain
897 - 897 : Théodore II
898 - 900 : Jean IX
900 - 903 : Benoît IV
903 - 903 : Léon V
904 - 911 : Serge III
911 - 913 : Anastase III
913 - 914 : Landon
914 - 928 : Jean X
928 - 928 : Léon VI
928 - 931 : Etienne VII
931 - 935 : Jean XI
936 - 939 : Léon VII
939 - 942 : Etienne VIII
942 - 946 : Marin II
946 - 955 : Agapit II
955 - 964 : Jean XII
963 - 965 : Léon VIII
964 - 964 : Benoît V
965 - 972 : Jean XIII
973 - 974 : Benoît VI
974 - 983 : Benoît VII
983 - 984 : Jean XIV
985 - 996 : Jean XV
996 - 999 : Grégoire V
999 - 1003 : Sylvestre II (Gerbert d'Aurillac)
1003 - 1003 : Jean XVII
1004 - 1009 : Jean XVIII
